ProductID,Name,ListPrice,PriceType
848,Headlights - Weatherproof,44.99,Normal
849,"Men's Sports Shorts, M",59.99,Normal
850,"Men's Sports Shorts, L",59.99,Normal
851,"Men's Sports Shorts, XL",59.99,Normal
852,"Women's Tights, S",74.99,Normal
853,"Women's Tights, M",74.99,Normal
854,"Women's Tights, L",74.99,Normal
855,"Men's Bib-Shorts, S",89.99,Normal
856,"Men's Bib-Shorts, M",89.99,Normal
857,"Men's Bib-Shorts, L",89.99,Normal
858,"Half-Finger Gloves, S",24.49,Normal
859,"Half-Finger Gloves, M",24.49,Normal
860,"Half-Finger Gloves, L",24.49,Normal
861,"Full-Finger Gloves, S",37.99,Normal
862,"Full-Finger Gloves, M",37.99,Normal
863,"Full-Finger Gloves, L",37.99,Normal
864,"Classic Vest, S",63.50,Normal
865,"Classic Vest, M",63.50,Normal
866,"Classic Vest, L",63.50,Normal
867,"Women's Mountain Shorts, S",69.99,Normal
868,"Women's Mountain Shorts, M",69.99,Normal
869,"Women's Mountain Shorts, L",69.99,Normal
870,Water Bottle - 30 oz.,4.99,Normal
871,Mountain Bottle Cage,9.99,Normal
872,Road Bottle Cage,8.99,Normal
873,Patch Kit/8 Patches,2.29,Normal
874,"Racing Socks, M",8.99,Normal
875,"Racing Socks, L",8.99,Normal
876,Hitch Rack - 4-Bike,120.00,Normal
877,Bike Wash - Dissolver,7.95,Normal
878,Fender Set - Mountain,21.98,Normal
879,All-Purpose Bike Stand,159.00,Normal
880,Hydration Pack - 70 oz.,54.99,Normal
881,"Short-Sleeve Classic Jersey, S",53.99,Normal
882,"Short-Sleeve Classic Jersey, M",53.99,Normal
883,"Short-Sleeve Classic Jersey, L",53.99,Normal
884,"Short-Sleeve Classic Jersey, XL",53.99,Normal
885,"HL Touring Frame - Yellow, 60",1003.91,High
886,"LL Touring Frame - Yellow, 62",333.42,Normal
887,"HL Touring Frame - Yellow, 46",1003.91,High
888,"HL Touring Frame - Yellow, 50",1003.91,High
889,"HL Touring Frame - Yellow, 54",1003.91,High
890,"HL Touring Frame - Blue, 46",1003.91,High
891,"HL Touring Frame - Blue, 50",1003.91,High
892,"HL Touring Frame - Blue, 54",1003.91,High
893,"HL Touring Frame - Blue, 60",1003.91,High
894,Rear Derailleur,121.46,Normal
895,"LL Touring Frame - Blue, 50",333.42,Normal
896,"LL Touring Frame - Blue, 54",333.42,Normal
897,"LL Touring Frame - Blue, 58",333.42,Normal
898,"LL Touring Frame - Blue, 62",333.42,Normal
899,"LL Touring Frame - Yellow, 44",333.42,Normal
900,"LL Touring Frame - Yellow, 50",333.42,Normal
901,"LL Touring Frame - Yellow, 54",333.42,Normal
902,"LL Touring Frame - Yellow, 58",333.42,Normal
903,"LL Touring Frame - Blue, 44",333.42,Normal
904,"ML Mountain Frame-W - Silver, 40",364.09,Normal
905,"ML Mountain Frame-W - Silver, 42",364.09,Normal
906,"ML Mountain Frame-W - Silver, 46",364.09,Normal
907,Rear Brakes,106.50,Normal
908,LL Mountain Seat/Saddle,27.12,Normal
909,ML Mountain Seat/Saddle,39.14,Normal
910,HL Mountain Seat/Saddle,52.64,Normal
911,LL Road Seat/Saddle,27.12,Normal
912,ML Road Seat/Saddle,39.14,Normal
913,HL Road Seat/Saddle,52.64,Normal
914,LL Touring Seat/Saddle,27.12,Normal
915,ML Touring Seat/Saddle,39.14,Normal
916,HL Touring Seat/Saddle,52.64,Normal
917,"LL Mountain Frame - Silver, 42",264.05,Normal
918,"LL Mountain Frame - Silver, 44",264.05,Normal
919,"LL Mountain Frame - Silver, 48",264.05,Normal
920,"LL Mountain Frame - Silver, 52",264.05,Normal
921,Mountain Tire Tube,4.99,Normal
922,Road Tire Tube,3.99,Normal
923,Touring Tire Tube,4.99,Normal
924,"LL Mountain Frame - Black, 42",249.79,Normal
925,"LL Mountain Frame - Black, 44",249.79,Normal
926,"LL Mountain Frame - Black, 48",249.79,Normal
927,"LL Mountain Frame - Black, 52",249.79,Normal
928,LL Mountain Tire,24.99,Normal
929,ML Mountain Tire,29.99,Normal
930,HL Mountain Tire,35.00,Normal
931,LL Road Tire,21.49,Normal
932,ML Road Tire,24.99,Normal
933,HL Road Tire,32.60,Normal
934,Touring Tire,28.99,Normal
935,LL Mountain Pedal,40.49,Normal
936,ML Mountain Pedal,62.09,Normal
937,HL Mountain Pedal,80.99,Normal
938,LL Road Pedal,40.49,Normal
939,ML Road Pedal,62.09,Normal
940,HL Road Pedal,80.99,Normal
941,Touring Pedal,80.99,Normal
942,"ML Mountain Frame-W - Silver, 38",364.09,Normal
943,"LL Mountain Frame - Black, 40",249.79,Normal
944,"LL Mountain Frame - Silver, 40",264.05,Normal
945,Front Derailleur,91.49,Normal
946,LL Touring Handlebars,46.09,Normal
947,HL Touring Handlebars,91.57,Normal
948,Front Brakes,106.50,Normal
949,LL Crankset,175.49,Normal
950,ML Crankset,256.49,Normal
951,HL Crankset,404.99,Normal
952,Chain,20.24,Normal
953,"Touring-2000 Blue, 60",1214.85,High
954,"Touring-1000 Yellow, 46",2384.07,High
955,"Touring-1000 Yellow, 50",2384.07,High
956,"Touring-1000 Yellow, 54",2384.07,High
957,"Touring-1000 Yellow, 60",2384.07,High
958,"Touring-3000 Blue, 54",742.35,Normal
959,"Touring-3000 Blue, 58",742.35,Normal
960,"Touring-3000 Blue, 62",742.35,Normal
961,"Touring-3000 Yellow, 44",742.35,Normal
962,"Touring-3000 Yellow, 50",742.35,Normal
963,"Touring-3000 Yellow, 54",742.35,Normal
964,"Touring-3000 Yellow, 58",742.35,Normal
965,"Touring-3000 Yellow, 62",742.35,Normal
966,"Touring-1000 Blue, 46",2384.07,High
967,"Touring-1000 Blue, 50",2384.07,High
968,"Touring-1000 Blue, 54",2384.07,High
969,"Touring-1000 Blue, 60",2384.07,High
970,"Touring-2000 Blue, 46",1214.85,High
971,"Touring-2000 Blue, 50",1214.85,High
972,"Touring-2000 Blue, 54",1214.85,High
973,"Road-350-W Yellow, 40",1700.99,High
974,"Road-350-W Yellow, 42",1700.99,High
975,"Road-350-W Yellow, 44",1700.99,High
976,"Road-350-W Yellow, 48",1700.99,High
977,"Road-750 Black, 58",539.99,Normal
978,"Touring-3000 Blue, 44",742.35,Normal
979,"Touring-3000 Blue, 50",742.35,Normal
980,"Mountain-400-W Silver, 38",769.49,Normal
981,"Mountain-400-W Silver, 40",769.49,Normal
982,"Mountain-400-W Silver, 42",769.49,Normal
983,"Mountain-400-W Silver, 46",769.49,Normal
984,"Mountain-500 Silver, 40",564.99,Normal
985,"Mountain-500 Silver, 42",564.99,Normal
986,"Mountain-500 Silver, 44",564.99,Normal
987,"Mountain-500 Silver, 48",564.99,Normal
988,"Mountain-500 Silver, 52",564.99,Normal
989,"Mountain-500 Black, 40",539.99,Normal
990,"Mountain-500 Black, 42",539.99,Normal
991,"Mountain-500 Black, 44",539.99,Normal
992,"Mountain-500 Black, 48",539.99,Normal
993,"Mountain-500 Black, 52",539.99,Normal
994,LL Bottom Bracket,53.99,Normal
995,ML Bottom Bracket,101.24,Normal
996,HL Bottom Bracket,121.49,Normal
997,"Road-750 Black, 44",539.99,Normal
998,"Road-750 Black, 48",539.99,Normal
999,"Road-750 Black, 52",539.99,Normal
