Name,StandardCost,ListPrice
"Road-450 Red, 58",884.7083,1457.99
"Road-450 Red, 60",884.7083,1457.99
"Road-450 Red, 44",884.7083,1457.99
"Road-450 Red, 48",884.7083,1457.99
"Road-450 Red, 52",884.7083,1457.99
"Road-650 Red, 58",486.7066,782.99
"Road-650 Red, 60",486.7066,782.99
"Road-650 Red, 62",486.7066,782.99
"Road-650 Red, 44",486.7066,782.99
"Road-650 Red, 48",486.7066,782.99
"Road-650 Red, 52",486.7066,782.99
"Road-650 Black, 58",486.7066,782.99
"Road-650 Black, 60",486.7066,782.99
"Road-650 Black, 62",486.7066,782.99
"Road-650 Black, 44",486.7066,782.99
"Road-650 Black, 48",486.7066,782.99
"Road-650 Black, 52",486.7066,782.99
"Mountain-100 Silver, 38",1912.1544,3399.99
"Mountain-100 Silver, 42",1912.1544,3399.99
"Mountain-100 Silver, 44",1912.1544,3399.99
"Mountain-100 Silver, 48",1912.1544,3399.99
"Mountain-100 Black, 38",1898.0944,3374.99
"Mountain-100 Black, 42",1898.0944,3374.99
"Mountain-100 Black, 44",1898.0944,3374.99
"Mountain-100 Black, 48",1898.0944,3374.99
"Mountain-200 Silver, 38",1265.6195,2319.99
"Mountain-200 Silver, 42",1265.6195,2319.99
"Mountain-200 Silver, 46",1265.6195,2319.99
"Mountain-200 Black, 38",1251.9813,2294.99
"Mountain-200 Black, 42",1251.9813,2294.99
"Mountain-200 Black, 46",1251.9813,2294.99
"Mountain-300 Black, 38",598.4354,1079.99
"Mountain-300 Black, 40",598.4354,1079.99
"Mountain-300 Black, 44",598.4354,1079.99
"Mountain-300 Black, 48",598.4354,1079.99
"Road-250 Red, 44",1518.7864,2443.35
"Road-250 Red, 48",1518.7864,2443.35
"Road-250 Red, 52",1518.7864,2443.35
"Road-250 Red, 58",1554.9479,2443.35
"Road-250 Black, 44",1554.9479,2443.35
"Road-250 Black, 48",1554.9479,2443.35
"Road-250 Black, 52",1554.9479,2443.35
"Road-250 Black, 58",1554.9479,2443.35
"Road-550-W Yellow, 38",713.0798,1120.49
"Road-550-W Yellow, 40",713.0798,1120.49
"Road-550-W Yellow, 42",713.0798,1120.49
"Road-550-W Yellow, 44",713.0798,1120.49
"Road-550-W Yellow, 48",713.0798,1120.49
LL Fork,65.8097,148.22
ML Fork,77.9176,175.49
HL Fork,101.8936,229.49
LL Headset,15.1848,34.20
ML Headset,45.4168,102.29
HL Headset,55.3801,124.73
LL Mountain Handlebars,19.7758,44.54
ML Mountain Handlebars,27.4925,61.92
HL Mountain Handlebars,53.3999,120.27
LL Road Handlebars,19.7758,44.54
ML Road Handlebars,27.4925,61.92
HL Road Handlebars,53.3999,120.27
"ML Mountain Frame - Black, 38",185.8193,348.76
LL Mountain Front Wheel,26.9708,60.745
ML Mountain Front Wheel,92.8071,209.025
HL Mountain Front Wheel,133.2955,300.215
LL Road Front Wheel,37.9909,85.565
ML Road Front Wheel,110.2829,248.385
HL Road Front Wheel,146.5466,330.06
Touring Front Wheel,96.7964,218.01
"ML Road Frame-W - Yellow, 38",360.9428,594.83
LL Mountain Rear Wheel,38.9588,87.745
ML Mountain Rear Wheel,104.7951,236.025
HL Mountain Rear Wheel,145.2835,327.215
LL Road Rear Wheel,49.9789,112.565
ML Road Rear Wheel,122.2709,275.385
HL Road Rear Wheel,158.5346,357.06
Touring Rear Wheel,108.7844,245.01
"ML Mountain Frame - Black, 40",185.8193,348.76
"ML Mountain Frame - Black, 44",185.8193,348.76
"ML Mountain Frame - Black, 48",185.8193,348.76
"ML Road Frame-W - Yellow, 40",360.9428,594.83
"ML Road Frame-W - Yellow, 42",360.9428,594.83
"ML Road Frame-W - Yellow, 44",360.9428,594.83
"ML Road Frame-W - Yellow, 48",360.9428,594.83
"HL Road Frame - Black, 62",868.6342,1431.50
"HL Road Frame - Black, 44",868.6342,1431.50
"HL Road Frame - Black, 48",868.6342,1431.50
"HL Road Frame - Black, 52",868.6342,1431.50
"Men's Sports Shorts, S",24.7459,59.99
"Touring-Panniers, Large",51.5625,125.00
Cable Lock,10.3125,25.00
Minipump,8.2459,19.99
Mountain Pump,10.3084,24.99
Taillights - Battery-Powered,5.7709,13.99
Headlights - Dual-Beam,14.4334,34.99
Headlights - Weatherproof,18.5584,44.99
"Men's Sports Shorts, M",24.7459,59.99
"Men's Sports Shorts, L",24.7459,59.99
"Men's Sports Shorts, XL",24.7459,59.99
"Women's Tights, S",30.9334,74.99
"Women's Tights, M",30.9334,74.99
"Women's Tights, L",30.9334,74.99
"Men's Bib-Shorts, S",37.1209,89.99
"Men's Bib-Shorts, M",37.1209,89.99
"Men's Bib-Shorts, L",37.1209,89.99
"Half-Finger Gloves, S",9.1593,24.49
"Half-Finger Gloves, M",9.1593,24.49
"Half-Finger Gloves, L",9.1593,24.49
"Full-Finger Gloves, S",15.6709,37.99
"Full-Finger Gloves, M",15.6709,37.99
"Full-Finger Gloves, L",15.6709,37.99
"Classic Vest, S",23.749,63.50
"Classic Vest, M",23.749,63.50
"Classic Vest, L",23.749,63.50
"Women's Mountain Shorts, S",26.1763,69.99
"Women's Mountain Shorts, M",26.1763,69.99
"Women's Mountain Shorts, L",26.1763,69.99
Water Bottle - 30 oz.,1.8663,4.99
Mountain Bottle Cage,3.7363,9.99
Road Bottle Cage,3.3623,8.99
Patch Kit/8 Patches,0.8565,2.29
"Racing Socks, M",3.3623,8.99
"Racing Socks, L",3.3623,8.99
Hitch Rack - 4-Bike,44.88,120.00
Bike Wash - Dissolver,2.9733,7.95
Fender Set - Mountain,8.2205,21.98
All-Purpose Bike Stand,59.466,159.00
Hydration Pack - 70 oz.,20.5663,54.99
"Short-Sleeve Classic Jersey, S",41.5723,53.99
"Short-Sleeve Classic Jersey, M",41.5723,53.99
"Short-Sleeve Classic Jersey, L",41.5723,53.99
"Short-Sleeve Classic Jersey, XL",41.5723,53.99
"HL Touring Frame - Yellow, 60",601.7437,1003.91
"LL Touring Frame - Yellow, 62",199.8519,333.42
"HL Touring Frame - Yellow, 46",601.7437,1003.91
"HL Touring Frame - Yellow, 50",601.7437,1003.91
"HL Touring Frame - Yellow, 54",601.7437,1003.91
"HL Touring Frame - Blue, 46",601.7437,1003.91
"HL Touring Frame - Blue, 50",601.7437,1003.91
"HL Touring Frame - Blue, 54",601.7437,1003.91
"HL Touring Frame - Blue, 60",601.7437,1003.91
Rear Derailleur,53.9282,121.46
"LL Touring Frame - Blue, 50",199.8519,333.42
"LL Touring Frame - Blue, 54",199.8519,333.42
"LL Touring Frame - Blue, 58",199.8519,333.42
"LL Touring Frame - Blue, 62",199.8519,333.42
"LL Touring Frame - Yellow, 44",199.8519,333.42
"LL Touring Frame - Yellow, 50",199.8519,333.42
"LL Touring Frame - Yellow, 54",199.8519,333.42
"LL Touring Frame - Yellow, 58",199.8519,333.42
"LL Touring Frame - Blue, 44",199.8519,333.42
"ML Mountain Frame-W - Silver, 40",199.3757,364.09
"ML Mountain Frame-W - Silver, 42",199.3757,364.09
"ML Mountain Frame-W - Silver, 46",199.3757,364.09
Rear Brakes,47.286,106.50
LL Mountain Seat/Saddle,12.0413,27.12
ML Mountain Seat/Saddle,17.3782,39.14
HL Mountain Seat/Saddle,23.3722,52.64
LL Road Seat/Saddle,12.0413,27.12
ML Road Seat/Saddle,17.3782,39.14
HL Road Seat/Saddle,23.3722,52.64
LL Touring Seat/Saddle,12.0413,27.12
ML Touring Seat/Saddle,17.3782,39.14
HL Touring Seat/Saddle,23.3722,52.64
"LL Mountain Frame - Silver, 42",144.5938,264.05
"LL Mountain Frame - Silver, 44",144.5938,264.05
"LL Mountain Frame - Silver, 48",144.5938,264.05
"LL Mountain Frame - Silver, 52",144.5938,264.05
Mountain Tire Tube,1.8663,4.99
Road Tire Tube,1.4923,3.99
Touring Tire Tube,1.8663,4.99
"LL Mountain Frame - Black, 42",136.785,249.79
"LL Mountain Frame - Black, 44",136.785,249.79
"LL Mountain Frame - Black, 48",136.785,249.79
"LL Mountain Frame - Black, 52",136.785,249.79
LL Mountain Tire,9.3463,24.99
ML Mountain Tire,11.2163,29.99
HL Mountain Tire,13.09,35.00
LL Road Tire,8.0373,21.49
ML Road Tire,9.3463,24.99
HL Road Tire,12.1924,32.60
Touring Tire,10.8423,28.99
LL Mountain Pedal,17.9776,40.49
ML Mountain Pedal,27.568,62.09
HL Mountain Pedal,35.9596,80.99
LL Road Pedal,17.9776,40.49
ML Road Pedal,27.568,62.09
HL Road Pedal,35.9596,80.99
Touring Pedal,35.9596,80.99
"ML Mountain Frame-W - Silver, 38",199.3757,364.09
"LL Mountain Frame - Black, 40",136.785,249.79
"LL Mountain Frame - Silver, 40",144.5938,264.05
Front Derailleur,40.6216,91.49
LL Touring Handlebars,20.464,46.09
HL Touring Handlebars,40.6571,91.57
Front Brakes,47.286,106.50
LL Crankset,77.9176,175.49
ML Crankset,113.8816,256.49
HL Crankset,179.8156,404.99
Chain,8.9866,20.24
"Touring-2000 Blue, 60",755.1508,1214.85
"Touring-1000 Yellow, 46",1481.9379,2384.07
"Touring-1000 Yellow, 50",1481.9379,2384.07
"Touring-1000 Yellow, 54",1481.9379,2384.07
"Touring-1000 Yellow, 60",1481.9379,2384.07
"Touring-3000 Blue, 54",461.4448,742.35
"Touring-3000 Blue, 58",461.4448,742.35
"Touring-3000 Blue, 62",461.4448,742.35
"Touring-3000 Yellow, 44",461.4448,742.35
"Touring-3000 Yellow, 50",461.4448,742.35
"Touring-3000 Yellow, 54",461.4448,742.35
"Touring-3000 Yellow, 58",461.4448,742.35
"Touring-3000 Yellow, 62",461.4448,742.35
"Touring-1000 Blue, 46",1481.9379,2384.07
"Touring-1000 Blue, 50",1481.9379,2384.07
"Touring-1000 Blue, 54",1481.9379,2384.07
"Touring-1000 Blue, 60",1481.9379,2384.07
"Touring-2000 Blue, 46",755.1508,1214.85
"Touring-2000 Blue, 50",755.1508,1214.85
"Touring-2000 Blue, 54",755.1508,1214.85
"Road-350-W Yellow, 40",1082.51,1700.99
"Road-350-W Yellow, 42",1082.51,1700.99
"Road-350-W Yellow, 44",1082.51,1700.99
"Road-350-W Yellow, 48",1082.51,1700.99
"Road-750 Black, 58",343.6496,539.99
"Touring-3000 Blue, 44",461.4448,742.35
"Touring-3000 Blue, 50",461.4448,742.35
"Mountain-400-W Silver, 38",419.7784,769.49
"Mountain-400-W Silver, 40",419.7784,769.49
"Mountain-400-W Silver, 42",419.7784,769.49
"Mountain-400-W Silver, 46",419.7784,769.49
"Mountain-500 Silver, 40",308.2179,564.99
"Mountain-500 Silver, 42",308.2179,564.99
"Mountain-500 Silver, 44",308.2179,564.99
"Mountain-500 Silver, 48",308.2179,564.99
"Mountain-500 Silver, 52",308.2179,564.99
"Mountain-500 Black, 40",294.5797,539.99
"Mountain-500 Black, 42",294.5797,539.99
"Mountain-500 Black, 44",294.5797,539.99
"Mountain-500 Black, 48",294.5797,539.99
"Mountain-500 Black, 52",294.5797,539.99
LL Bottom Bracket,23.9716,53.99
ML Bottom Bracket,44.9506,101.24
HL Bottom Bracket,53.9416,121.49
"Road-750 Black, 44",343.6496,539.99
"Road-750 Black, 48",343.6496,539.99
"Road-750 Black, 52",343.6496,539.99
